ID,Created,Date,Interaction IDs,Status,Loan start date,Number of times in arrears,Arrears start date,Current arrears amount,How many PTPs set on this account since first falling into arrears?,How many of these PTPs failed?,How many PAs set on this account since first falling into arrears?,How many of these PAs failed?,How many  holds were applied to this account since first falling into arrears?,Did SMS as per the strategy send to customer during period of arrears? ,Did emails as per the strategy send to customer during period of arrears?,Were all statutory comms sent when required? (NOD/NOSIA/NOT),Are system comms supressed/unsupressed correctly as of now?,Is there a VC flag on this account,Category of VC,Is there a current / open complaint?,Was there a previous complaint relevant to the customers arears position or journey?,Arrears or financial difficulties could not reasonably have been prevented through earlier engagement or support.,Arrears - Fail Reasons,"Any customer vulnerability is identified and appropriately responded to, with tailored support provided where necessary.",Vulnerability - Fail Reasons,The customer’s financial and personal circumstances are clearly understood to inform decision-making.,Customer's financial circumstances - Fail Reasons,"The support or forbearance solutions offered are tailored, fair, and appropriate to the customer’s needs and situation.",Support/Forbearance - Fail Reasons,"The customer fully understands the situation, the implications of their choices, and the next steps.",Customer understanding - Fail Reasons,"Communications are timely, clear, empathetic, and take into account customer needs (e.g. format, tone, timing of comms). Communication was easily understood and accurate. ",Communications - Fail Reasons,"All systems accurately reflect the customer’s circumstances, actions taken, and agreed next steps.",System updates - Fail Reasons,Would further back be a good review - (was any Financial Difficulty  foreseeable at Point Of Sale),Remediation Required ,Which of the below could be described as the primary reason for failure across the entire customer journey?,Were there attempts to X-sell the customer while the account was in arrears?,"If yes, which departments were responsible for attempting to X-sell whilst the customer was in arrears?",Overall outcome,Loan start date - Copy,Tenure (Days),Arrears start date - Copy,Days to enter arrears,Primary Fail Reasons Table.Which of the below could be described as the primary ,Primary Fail Reasons
36,27/06/2025,2025-06-02,c7b69b4c-13f9-4d8c-808d-24c18c548b41,Up to Date,2023-11-30,4,2024-05-17,0,1,0,0,0,0,N/A,Yes,Yes,N/A,No,,No,No,Good,,Good,,Good,,Good,,Good,,Good,,Poor,"""Key details missing or incomplete in the system """,No,Yes,null,,null,Poor Outcome - Advisor,30/11/2023,724,17/05/2024,169,,
35,27/06/2025,2025-06-25,".f4e5b364-1b2b-483e-b4c6-9749fd9123ea
06c40e78-e102-4d9d-8f45-155708007df8
call on the 28th Jan 2024 - call archived ",Up to Date,2023-09-30,2,2023-12-27,0,1,0,0,0,0,Yes,Yes,Yes,No,No,,No,No,Poor,"""Agent failed to offer appropriate support early""",Good,,Good,,Good,,Poor,"""Next steps unclear or conflicting""",Good with feedback,"""Message unclear or contradictory, causing customer confusion.""",Good,,No,Yes,null,,null,Poor Outcome - Advisor,30/09/2023,785,27/12/2023,88,,
40,30/06/2025,2025-06-30,"5ac1624c-351e-4ca8-9215-3aaadaeec493
fa47d066-0207-4dd4-bc65-cf2f5a67b032
7b132464-367d-4b27-b1c0-71b72d6e5bb4",Up to Date,2024-05-04,7,2024-06-25,0,2,0,0,0,0,Yes,Yes,Yes,Yes,No,,No,No,Good,,Good,,Good with feedback,"""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good with feedback,"""Customer’s preferences not considered""",Good,,Poor,"""Tone was dismissive or robotic, lacking empathy or understanding."",""Customer preferences ignored""",Good,,No,No,null,,null,Poor Outcome - Advisor,04/05/2024,568,25/06/2024,52,,
41,08/07/2025,2025-07-08,"61ee9af0-f759-458a-afca-865c6b1cb182
a4d71c2b-b964-49ab-af02-5b2294b87de7
84d68dcd-a5f7-4236-a4d3-11be90a3170b",In strategy,2024-01-12,2,2024-07-26,23.25,2,1,0,0,1,Yes,Yes,Yes,Yes,No,,No,No,Good,,Good,,Good,,Good with feedback,"""Customer’s preferences not considered""",Good,,Good,,Good,,No,No,null,,null,Good Outcome with Feedback,12/01/2024,681,26/07/2024,196,,
42,09/07/2025,2025-07-09,6a682edd-7e98-44ca-8af0-521baf98df40,Terminated,2023-11-23,2,2024-11-21,464.04,1,1,0,0,0,Yes,Yes,Yes,Yes,No,,No,No,Good,,Poor,"""Vulnerability flag not recorded or updated, impacting future support consistency."",""Standard solutions offered, no evidence of tailoring based on the vulnerability.""",Good,,Good,,Good,,Good,,Good,,No,No,null,,null,Poor Outcome - Advisor,23/11/2023,731,21/11/2024,364,,
43,10/07/2025,2025-07-10,eac6a7f6-074b-45f1-88a8-014fc41cb728v,In strategy,2024-01-24,7,2024-05-24,73.5,1,1,0,0,0,Yes,Yes,Yes,Yes,Yes,"""Financial"",""Life Events""",No,No,Good,,Good with feedback,"""Standard solutions offered, no evidence of tailoring based on the vulnerability.""",Good,,Good,,Good,,Good,,Good,,No,Yes,null,,null,Good Outcome with Feedback,24/01/2024,669,24/05/2024,121,,
44,10/07/2025,2025-07-10,44a2ea5d-558e-4241-9fed-a5bebf5c5fe6,In strategy,2024-10-23,2,2025-04-14,67.5,1,0,0,0,0,Yes,Yes,Yes,No,Yes,"""Financial""",No,No,Good,,Good,,Good,,Good,,Good,,Good,,Good,,No,Yes,null,,null,Good Outcome ,23/10/2024,396,14/04/2025,173,,
45,10/07/2025,2025-07-10,"d0c66228-98fd-469b-8c85-69921de7d4b1 
a99a2476-e5a1-458a-b19c-bf0dfa6c4bf9
bfdee3b8-fc92-453a-b9f7-a4bd12d2da83
9c7a6907-a14a-429e-a107-cc92ab2622e2",Up to Date,2024-03-27,1,2025-07-14,0,1,0,0,0,1,Yes,Yes,N/A,Yes,No,,No,No,Good,,Good,,Good with feedback,"""Assumptions made without clarification"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good,,Good with feedback,"""Next steps unclear or conflicting"",""Customer questions not answered properly or dismissed.""",Good with feedback,"""Message unclear or contradictory, causing customer confusion.""",Good with feedback,"""Next steps not documented or wrongly recorded, leading to confusion or follow-up issues.""",No,No,null,,null,Good Outcome with Feedback,27/03/2024,606,14/07/2025,474,,
46,16/07/2025,2025-07-16,5dbe5fe2-ce9d-4ed0-bb27-6ddba1b0c8e9,Up to Date,2024-08-20,3,2024-10-29,0,1,0,0,0,0,Yes,Yes,Yes,N/A,No,,No,No,Good with feedback,"""No proactive contact made despite available indicators of payment stress or pre-arrears.""",Good,,Good with feedback,"""Assumptions made without clarification""",Good with feedback,"""No rationale recorded for solution chosen, so suitability cannot be evidenced.""",Good,,Good,,Good,,No,No,null,,null,Good Outcome with Feedback,20/08/2024,460,29/10/2024,70,,
47,17/07/2025,2025-07-16,"71687878 
71693363
71706816
c892b362-8398-4507-a00c-384b8ad464d3
e7162082-bf87-484b-bd0f-5a812fd79a7c
febf7fbc-40f5-41fb-8c5d-5485f3a1ac13
391bf602-89f6-480f-ad7b-97c5b7bde707
097ccfbb-5654-43b5-aded-447dcdd64b2e",Up to Date,2024-06-23,1,2024-10-23,0,1,0,0,0,1,Yes,Yes,Yes,Yes,Yes,"""Mental & Emotional Wellbeing"",""Financial""",No,No,Poor,"""Missed early warning signs"",""Agent failed to offer appropriate support early"",""Customer disclosed difficulties previously but no follow-up action was taken or recorded.""",Poor,"""Support offered was not appropriate for the vulnerability""",Poor,"""Customer challenges not explored"",""Assumptions made without clarification"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good with feedback,"""Customer’s preferences not considered""",Poor,"""Next steps unclear or conflicting"",""Jargon or technical terms used with no clarification"",""Customer questions not answered properly or dismissed.""",Poor,"""Tone was dismissive or robotic, lacking empathy or understanding."",""Message unclear or contradictory, causing customer confusion."",""Customer preferences ignored""",Good with feedback,"""Key details missing or incomplete in the system "",""Inconsistency between call notes and system updates"",""Incorrect flags or statuses applied""",No,Yes,null,,null,Good Outcome with Feedback,23/06/2024,518,23/10/2024,122,,
48,21/07/2025,2025-07-21,"9e5a0a10-d329-444c-b991-8234d58c779b, 4b8f9c6d-f808-4cd3-9235-3ba5496361cf, 9adfed09-7de1-4a1e-b6bc-b78c6231841c",In strategy,2024-08-07,1,2024-11-04,135.57,1,1,0,0,0,Yes,Yes,Yes,N/A,No,,No,No,Poor,"""Missed early warning signs""",Good,,Good,,Good,,Poor,"""Key implications not explained"",""Next steps unclear or conflicting""",Poor,"""Delayed response or contact, leading to increased customer detriment or anxiety.""",Good,,No,No,null,,null,Poor Outcome - Advisor,07/08/2024,473,04/11/2024,89,,
49,22/07/2025,2025-07-21,"72785865
73605104
73610603
76541823
80339486
291ec16a-8be4-4d2c-8f76-3128a8ab5a93
ad62db25-3d55-4003-aad4-0c7ee9420b77 
56ab0eff-ccf2-4f53-ad18-540beae12b25
5a6ffbf9-fed0-4908-a912-9fca45968858
014b01b9-bf67-4f6e-9cf1-d4d65a0268bd
cdbf4f6a-2928-4635-a58a-a50e4fb96fbe
b8375296-d314-4cd1-ab58-0159738afdf1
6569e360-4efa-47bd-ba26-d48278bfbd0c
d2cadf3d-c062-4279-b48e-79d491cfc062
6ddb36d5-aa7e-4946-9333-1cf68299919d",DCA,2024-06-29,1,2024-08-01,774.59,2,2,0,0,3,Yes,Yes,Yes,Yes,Yes,"""Mental & Emotional Wellbeing"",""Financial"",""Life Events""",No,No,Poor,"""Missed early warning signs"",""No proactive contact made despite available indicators of payment stress or pre-arrears."",""Non Justified hold or delay in contact, leading to escalation in arrears or stress for the customer."",""Agent failed to offer appropriate support early"",""Customer disclosed difficulties previously but no follow-up action was taken or recorded.""",Poor,"""Standard solutions offered, no evidence of tailoring based on the vulnerability."",""Support offered was not appropriate for the vulnerability"",""Vulnerability flag not recorded or updated, impacting future support consistency.""",Poor,"""Income & expenditure not captured, or done superficially with no follow-up questions."",""Customer challenges not explored"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Poor,"""Inappropriate solution for customer scenario"",""No rationale recorded for solution chosen, so suitability cannot be evidenced."",""Inflexible options offered""",Good with feedback,"""Next steps unclear or conflicting"",""Jargon or technical terms used with no clarification"",""Customer questions not answered properly or dismissed.""",Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding."",""Message unclear or contradictory, causing customer confusion.""",Poor,"""Key details missing or incomplete in the system "",""Incorrect flags or statuses applied""",Yes,Yes,null,,null,Poor Outcome - Advisor,29/06/2024,512,01/08/2024,33,,
50,23/07/2025,2025-07-23,"5393bd43-e25b-4ed4-ae3e-fd4944c75efa, 
4e3302c6-fd8a-462e-9ed7-c89d8fefc94e,
a8e422eb-530b-4e02-b87f-ecad9fe81437, 
c8a77bb4-1c3f-471d-85d9-b3c0e8c1b04f, 
7b59c774-2748-46db-94b1-943851968bf7,
f8e50a22-f1fe-41a4-add4-34d93618f629,
dc57f5db-27c6-4156-9df3-81df04ceb2b6",Up to Date,2024-01-24,2,2024-12-04,0,1,1,0,0,0,Yes,Yes,Yes,N/A,Yes,"""Financial""",No,No,Poor,"""Agent failed to offer appropriate support early"",""Missed early warning signs""",Good with feedback,"""Vulnerability flag not recorded or updated, impacting future support consistency."",""Signs of vulnerability not probed or acknowledged """,Good,,Poor,"""Inappropriate solution for customer scenario""",Poor,"""Next steps unclear or conflicting""",Poor,"""Incorrect or misleading information given, including wrong payment dates or account details.""",Good,,No,No,null,,null,Poor Outcome - Advisor,24/01/2024,669,04/12/2024,315,,
51,24/07/2025,2025-07-23,"79904536
a99d3618-55a5-462e-a0e8-a3a18a9c9f70
481c8716-bf47-4736-874a-3ba39bed16b0  
11d174e0-3ca3-4aae-9cc2-1ae770e053d6 
376a7052-6a7d-4ae9-955e-3fd154b7100d  ",Up to Date,2024-10-02,1,2025-01-03,0,1,1,0,0,1,Yes,Yes,Yes,Yes,No,,No,No,Poor,"""Customer disclosed difficulties previously but no follow-up action was taken or recorded."",""Agent failed to offer appropriate support early"",""Missed early warning signs""",Good,,Good,,Good,,Good with feedback,"""Key implications not explained"",""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding.""",Good with feedback,"""Customer preferences ignored"",""Message unclear or contradictory, causing customer confusion.""",Good,,No,No,null,,null,Good Outcome with Feedback,02/10/2024,417,03/01/2025,93,,
52,25/07/2025,2025-07-25,"0c57d1f9-fbe5-4e32-89f3-8cfabbe24024,
c444d726-339f-47e5-abee-f5eee9a88b39,
c052f761-62f6-4c64-9aa9-d9031d19099b,
c0219245-21da-4760-94b5-dde3593cbbbd,
f2a931a5-2d50-4ef4-8c17-bace6a405131,
bac8bc58-dc4a-4f8e-a3be-fac32e06e90f,
6832bc5f-0796-434b-ac81-eef6550e93a3,
0047ee83-9b5d-4def-a897-d8e8b004bb0c,
42e171d2-6f5a-4daf-96b5-c6e9f49c5480

https://uk.aeriandi.com/player/app/v2/84490/4744344/portal/?ref_64249034, 	
https://uk.aeriandi.com/player/app/v2/84490/4744344/portal/?ref_62681937, 
https://uk.aeriandi.com/player/app/v2/84490/4744344/portal/?ref_64083642, 
https://uk.aeriandi.com/player/app/v2/84490/4744344/portal/?ref_62833445,
https://uk.aeriandi.com/player/app/v2/84490/4744344/portal/?ref_71813033,
https://uk.aeriandi.com/player/app/v2/84490/4744344/portal/?ref_79995317,
 

",Terminated,2023-11-16,2,2024-11-01,868.8,2,2,0,0,0,Yes,Yes,Yes,Yes,Yes,"""Financial"",""Health and Capacity""",No,No,Poor,"""Agent failed to offer appropriate support early"",""Missed early warning signs""",Good with feedback,"""Signs of vulnerability not probed or acknowledged """,Poor,"""Customer challenges not explored"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good with feedback,"""Proposed solution not affordable or sustainable based on I&E or customer disclosure.""",Poor,"""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding."",""Next steps unclear or conflicting""",Good,,Good,,No,No,null,,null,Poor Outcome - Advisor,16/11/2023,738,01/11/2024,351,,
53,28/07/2025,2025-07-24,"79086901
80950312
80955678 
33ab5ede-2a39-4157-98bf-d755da435dc8
e27ac0c0-a4fc-45db-9ff2-57a2a1b70fb1 
37fb2b05-85ed-4909-954d-0d6ccdee037b
58f9e665-0f5d-41e5-abf9-44cf5d27a14f",DCA,2023-05-22,1,2024-09-02,83.28,0,0,1,1,2,Yes,Yes,Yes,Yes,Yes,"""Mental & Emotional Wellbeing"",""Life Events"",""Financial""",No,No,Poor,"""Missed early warning signs"",""No proactive contact made despite available indicators of payment stress or pre-arrears."",""Non Justified hold or delay in contact, leading to escalation in arrears or stress for the customer."",""Agent failed to offer appropriate support early"",""Customer disclosed difficulties previously but no follow-up action was taken or recorded.""",Poor,"""Signs of vulnerability not probed or acknowledged "",""Standard solutions offered, no evidence of tailoring based on the vulnerability."",""Support offered was not appropriate for the vulnerability"",""Vulnerability flag not recorded or updated, impacting future support consistency.""",Poor,"""Income & expenditure not captured, or done superficially with no follow-up questions."",""Key income/outgoings missed or misclassified"",""Customer challenges not explored"",""Assumptions made without clarification"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Poor,"""Proposed solution not affordable or sustainable based on I&E or customer disclosure."",""Inflexible options offered"",""Inappropriate solution for customer scenario"",""No rationale recorded for solution chosen, so suitability cannot be evidenced."",""Customer’s preferences not considered""",Poor,"""Key implications not explained"",""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding."",""Next steps unclear or conflicting"",""Customer questions not answered properly or dismissed.""",Poor,"""Tone was dismissive or robotic, lacking empathy or understanding."",""Message unclear or contradictory, causing customer confusion."",""Delayed response or contact, leading to increased customer detriment or anxiety.""",Poor,"""Key details missing or incomplete in the system "",""Next steps not documented or wrongly recorded, leading to confusion or follow-up issues."",""Inconsistency between call notes and system updates""",No,Yes,null,,null,Poor Outcome - Advisor,22/05/2023,916,02/09/2024,469,,
54,30/07/2025,2025-07-30,"109170e2-b059-4766-aedd-725a07dddacc
616915d3-fe64-4f16-bf62-83704a198c79",In strategy,2024-11-20,2,2025-01-02,38.44,2,2,0,0,0,Yes,Yes,Yes,Yes,No,,No,No,Good,,Good,,Good with feedback,"""Customer challenges not explored""",Good,,Good,,Good,,Good,,No,Yes,null,,null,Good Outcome with Feedback,20/11/2024,368,02/01/2025,43,,
55,31/07/2025,2025-07-31,"0fb90e43-2324-4791-bdc8-25f79f5d78f7,
ac34a783-7e89-4911-9ad3-4b439e4e8c47,
1a957c51-78a0-4d75-913b-32a40a1e7744,
84f9192a-7062-4581-a2d5-04c6f5243aa7,
06787f36-5fc8-4bd6-8135-ffc4c5c01c30",In strategy,2024-04-15,1,2025-01-10,138.63,1,1,0,0,0,Yes,Yes,Yes,Yes,No,,No,No,Poor,"""No proactive contact made despite available indicators of payment stress or pre-arrears."",""Missed early warning signs""",Good,,Good with feedback,"""Customer challenges not explored""",Good,,Poor,"""Next steps unclear or conflicting""",Good,,Good,,No,No,null,,null,Poor Outcome - Advisor,15/04/2024,587,10/01/2025,270,,
56,08/08/2025,2025-08-08,"77e24937-07c8-4416-8986-f9fb83b5efc4
982503af-4c6e-4681-9833-641d02087499
d7f44e38-d53d-4cd9-876b-ee897dd2b826
9a6dc697-fe5b-4817-8910-751912a253d5
41102cfb-cc9f-49c0-b9ac-536d52920490
07f4265e-e120-45af-bf54-e12923bcdf11
",Terminated,2024-11-14,1,2025-01-07,822,2,0,0,0,0,Yes,Yes,Yes,Yes,Yes,"""Financial""",No,No,Good,,Good,,Good with feedback,"""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good,,Good,,Good,,Good,,No,No,null,,null,Good Outcome with Feedback,14/11/2024,374,07/01/2025,54,,
58,11/08/2025,2025-08-11,"78710588
e520e554-44eb-4eb0-8123-8cfb48e27039 
37b15b77-45e1-4544-a406-fefca44df29e
436c3b34-8f7a-40cf-a194-2b445d95ac39
81cef261-97d1-4e3c-a3c6-25af154cb49c 
4fb4f3ad-ce94-41e7-9de5-5b108c465727
b87fc864-2a37-4944-884f-10eaeb9c3a97
e64a5893-8912-4c71-8ef8-a5e49c91617e ",Up to Date,2024-04-13,1,2024-09-16,0,0,0,1,0,1,Yes,Yes,Yes,Yes,No,,No,Yes,Good with feedback,"""No proactive contact made despite available indicators of payment stress or pre-arrears."",""Missed early warning signs""",Good,,Good with feedback,"""Key income/outgoings missed or misclassified"",""Customer challenges not explored"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good with feedback,"""No rationale recorded for solution chosen, so suitability cannot be evidenced.""",Poor,"""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding."",""Next steps unclear or conflicting"",""Jargon or technical terms used with no clarification"",""Customer questions not answered properly or dismissed.""",Poor,"""Message unclear or contradictory, causing customer confusion."",""Customer preferences ignored"",""Incorrect or misleading information given, including wrong payment dates or account details.""",Poor,"""Key details missing or incomplete in the system "",""Next steps not documented or wrongly recorded, leading to confusion or follow-up issues."",""Inconsistency between call notes and system updates""",No,No,null,,null,Good Outcome with Feedback,13/04/2024,589,16/09/2024,156,,
57,11/08/2025,2025-08-11,"cad33e9d-8ec6-4eee-8291-b64cf2893d4d
011ebfdc-85f3-4d4e-8ae9-53f85426a717
fc333407-6a03-45fc-8458-e9c80cd67d87
eb926c74-ec41-4917-ac1f-d9f06d2f3e22
025c6b33-6103-4fc8-afce-b958b6218baf
084b8652-5f0d-47ab-9c71-74706606918e",In strategy,2024-05-02,3,2024-07-29,34.06,4,2,0,0,0,Yes,Yes,Yes,Yes,No,,No,No,Good,,Good,,Good,,Good,,Good,,Good with feedback,"""Message unclear or contradictory, causing customer confusion.""",Good,,No,No,null,,null,Good Outcome with Feedback,02/05/2024,570,29/07/2024,88,,
59,13/08/2025,2025-08-13,53da8d6a-2526-4ab4-86e9-f0dc80ea386b,In strategy,2023-11-24,5,2023-03-13,1627.87,1,1,0,0,0,Yes,Yes,Yes,Yes,No,,No,No,Good,,Good,,Poor,"""Customer challenges not explored"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Poor,"""Inflexible options offered"",""Inappropriate solution for customer scenario"",""Customer’s preferences not considered""",Good,,Good,,Good with feedback,"""Inconsistency between call notes and system updates"",""Key details missing or incomplete in the system """,No,No,null,,null,Good Outcome with Feedback,24/11/2023,730,13/03/2023,-256,,
60,14/08/2025,2025-08-14,9175e159-21ad-4d8d-8fc3-9b1d7e5bba0a,In strategy,2024-11-20,3,2024-12-30,1213.33,1,1,0,0,0,Yes,Yes,Yes,Yes,No,,No,No,Good,,Good,,Good,,Good,,Good,,Good,,Good,,Yes,No,null,,null,Good Outcome ,20/11/2024,368,30/12/2024,40,,
61,18/08/2025,2025-08-18,"https://uk.aeriandi.com/player/app/v2/84490/4744344/portal/?ref_60732368
06c40e78-e102-4d9d-8f45-155708007df8
f4e5b364-1b2b-483e-b4c6-9749fd9123ea
9d50fc82-4b3f-46a9-91a5-7efbe50178d0
",Up to Date,2023-09-30,1,2024-12-27,0,1,0,0,0,0,Yes,Yes,Yes,Yes,No,,No,No,Good,,Good,,Good,,Good with feedback,"""Customer’s preferences not considered""",Good,,Good with feedback,"""Customer preferences ignored""",Good,,No,No,null,,null,Good Outcome with Feedback,30/09/2023,785,27/12/2024,454,,
62,20/08/2025,2025-08-19,"77327859
79077065
79078606
79078662
79078930
913f284a-acee-475b-8248-441892a9854d
67afec1d-9d4c-4c77-ace1-4054870a674c
19ed18df-96c8-40d3-8b76-fdc616688ba7
201e5ee3-0726-4477-a41e-995dc92b77c3 
 98aa2bc1-3262-4fdf-8674-f0ad2054a50c",Terminated,2025-05-02,1,2024-09-12,654.16,0,0,1,0,1,Yes,Yes,Yes,Yes,Yes,"""Mental Capacity"",""Life Events""",No,No,Poor,"""Missed early warning signs"",""Agent failed to offer appropriate support early"",""Customer disclosed difficulties previously but no follow-up action was taken or recorded.""",Good,,Good with feedback,"""Customer challenges not explored"",""Assumptions made without clarification""",Good,,Good with feedback,"""Customer questions not answered properly or dismissed."",""Next steps unclear or conflicting""",Poor,"""Message unclear or contradictory, causing customer confusion."",""Tone was dismissive or robotic, lacking empathy or understanding.""",Poor,"""Key details missing or incomplete in the system "",""Inconsistency between call notes and system updates"",""Incorrect flags or statuses applied""",No,Yes,null,,null,Good Outcome with Feedback,02/05/2025,205,12/09/2024,-232,,
63,21/08/2025,2025-08-21,"c27d24b1-1538-432e-99ce-d62201032d6c
66b97c15-8f56-42f4-9882-d4ff863f4bd4
2b71e4bb-7445-4291-a7bf-42ec98cef675",Up to Date,2024-11-04,1,2025-01-01,0,1,0,0,0,1,N/A,Yes,N/A,Yes,Yes,"""Health and Capacity""",No,No,Good,,Good with feedback,"""Standard solutions offered, no evidence of tailoring based on the vulnerability.""",Good,,Good,,Good,,Good,,Good with feedback,"""Next steps not documented or wrongly recorded, leading to confusion or follow-up issues.""",No,No,null,,null,Good Outcome ,04/11/2024,384,01/01/2025,58,,
64,26/08/2025,2025-08-26,"53da8d6a-2526-4ab4-86e9-f0dc80ea386b
0881b85f-f808-4d6e-852b-b932aa990ea7
240ff61e-085c-481e-bf16-e1bb383bfc13
bba55a2e-0a7c-4256-85ec-c6b6d2cf30a3
e7a5b761-5adc-4474-9e8f-9a0e60ae3e31",Terminated,2024-11-27,1,2025-01-10,1628.42,1,1,0,0,0,Yes,Yes,Yes,Yes,No,,No,No,Poor,"""Missed early warning signs""",Good,,Poor,"""Customer challenges not explored"",""Assumptions made without clarification"",""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good,,Good with feedback,"""Key implications not explained""",Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding.""",Good,,Yes,No,null,,null,Poor Outcome - Advisor,27/11/2024,361,10/01/2025,44,,
65,28/08/2025,2025-08-28,"b006ea47-dfab-4ecf-9ab3-633cbcee9ac6
https://uk.aeriandi.com/player/app/v2/84490/4744344/portal/?ref_74985864

There is a third call, relevant to this, but I have been unable to locate this.",Up to Date,2024-05-18,2,2024-10-07,0,1,0,0,0,0,Yes,Yes,Yes,N/A,No,,No,No,Good with feedback,"""Agent failed to offer appropriate support early""",Good,,Good,,Good,,Good with feedback,"""Jargon or technical terms used with no clarification""",Good with feedback,"""Message unclear or contradictory, causing customer confusion.""",Good,,No,No,null,,null,Good Outcome with Feedback,18/05/2024,554,07/10/2024,142,,
66,29/08/2025,2025-08-29,"9d99346a-a356-4221-b489-dc9dfce5ea8c
36d09f06-48a7-463e-8694-41baab44066f
49fe6288-08a5-4877-b62e-ca4ff3773e1f
97575de5-f712-46fb-9684-4517fc4ef8d1
955ca255-27ca-448c-bfda-fdd313d58703
c32d86bc-9276-4e30-b242-74207a6a2cf8
7dc9ff31-3dd9-4b6b-a27d-0515a4d2e2c5
a3fef7cb-eebc-471d-94b6-49acec7f27a5
3bdf5ade-8d88-45de-b4d7-01a138962c22
c4fc2384-f98b-4a6c-b87e-962ba5fc5682 
cea678a0-a781-45bf-a3fa-0f5a7dbb2192
b4aa3529-653e-4a01-8ab4-62612eac4cb6 
687f08c3-3f11-43ea-a4fd-fa45b460f88e 
017e6230-93e6-4721-80ff-c9be96c5f83e
0a4232bb-ad25-4d1d-9ea4-782cf73b2107
4b0171ec-1fd8-4515-aafa-47cba1cfbd58 
24d79fa9-154d-4e49-a5e0-76201abce5d0
e1d95d14-0b64-4780-a111-52c83483a3e1
64593a93-1a3b-4de3-bf71-271db46b6d14
54de72a8-c23e-411d-86af-d61057a6f7bd
55adea2c-ff3c-470a-8676-d802ad8a45b6
5919a7ea-2b33-4121-b18f-eb7d41028672
2293d82c-5112-44b6-a38d-f237ad92a63c
c4bdee66-badc-46b5-909f-f778186507fe 
a2797485-1ece-41ff-8624-aeb8b1a193d8
",DCA,2024-05-16,1,2024-07-15,296.34,2,2,2,2,4,Yes,Yes,Yes,Yes,Yes,"""Mental & Emotional Wellbeing"",""Financial"",""Life Events""",No,No,Good with feedback,"""Missed early warning signs""",Poor,"""Standard solutions offered, no evidence of tailoring based on the vulnerability."",""Support offered was not appropriate for the vulnerability""",Good with feedback,"""Income & expenditure not captured, or done superficially with no follow-up questions."",""Key income/outgoings missed or misclassified"",""Customer challenges not explored""",Good with feedback,"""No rationale recorded for solution chosen, so suitability cannot be evidenced."",""Customer’s preferences not considered""",Poor,"""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding."",""Next steps unclear or conflicting"",""Jargon or technical terms used with no clarification"",""Customer questions not answered properly or dismissed."",""Key implications not explained""",Poor,"""Tone was dismissive or robotic, lacking empathy or understanding."",""Message unclear or contradictory, causing customer confusion."",""Incorrect or misleading information given, including wrong payment dates or account details.""",Good with feedback,"""Next steps not documented or wrongly recorded, leading to confusion or follow-up issues.""",No,No,null,,null,Poor Outcome - Advisor,16/05/2024,556,15/07/2024,60,Customer not fully understanding,Customer not fully understanding
67,29/08/2025,2025-08-29,"ff0916bc-de90-40c3-b858-e3b2f63e11de
8724d4f2-d12a-44af-8377-569f41e90dd6
https://uk.aeriandi.com/player/app/v2/84490/4744344/portal/?ref_81191427",Terminated,2023-12-11,2,2024-10-22,882.22,3,3,0,0,0,Yes,Yes,Yes,N/A,Yes,"""Health and Capacity""",No,No,Good,,Good,,Good,,Good,,Good with feedback,"""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding.""",Good,,Good,,No,No,null,,null,Good Outcome with Feedback,11/12/2023,713,22/10/2024,316,Customer not fully understanding,Customer not fully understanding
68,29/08/2025,2025-08-29,"cda95e83-4a7b-4e1f-8d55-b86fc4173520
1b533f63-0cb5-43dd-b34a-353b05991338
76847c9b-a14a-4f74-b630-44391fc9339c",In strategy,2024-08-04,1,2024-09-30,56.1,1,1,0,0,0,Yes,Yes,Yes,N/A,No,,No,No,Good with feedback,"""No proactive contact made despite available indicators of payment stress or pre-arrears.""",Good,,Good with feedback,"""No evidence of personalisation in the outcome based on the customer’s circumstances.""",Good,,Good with feedback,"""Customer asked no questions/questions ignored and was rushed, suggesting lack of understanding.""",Good with feedback,"""Tone was dismissive or robotic, lacking empathy or understanding.""",Good,,No,No,null,,null,Good Outcome with Feedback,04/08/2024,476,30/09/2024,57,Customer not fully understanding,Customer not fully understanding
